batch_start,batch_close,candidate_id,ivrs,introductions,first_round_interviews,final_offers,hired,,,,,,,Predicted,Actual,Variance
1/6/16,2/1/16,587939,2,2,1,0,FALSE,,,,,,1201948,FALSE,FALSE,TRUE
1/6/16,2/1/16,599369,8,2,1,0,FALSE,,,,,,617290,FALSE,FALSE,TRUE
1/6/16,2/1/16,44847,18,8,5,0,FALSE,,,,,,679118,FALSE,FALSE,TRUE
1/6/16,2/1/16,596949,0,0,0,0,FALSE,,,,,,949673,FALSE,FALSE,TRUE
1/6/16,2/1/16,481544,2,2,0,0,FALSE,,,,,,907142,FALSE,FALSE,TRUE
1/6/16,2/1/16,555978,0,0,0,0,FALSE,,,,,,885609,FALSE,FALSE,TRUE
1/6/16,2/1/16,18686,18,4,3,0,FALSE,,,,,,590872,FALSE,FALSE,TRUE
1/6/16,2/1/16,583057,13,13,8,0,FALSE,,,,,,1091789,FALSE,FALSE,TRUE
1/6/16,2/1/16,468853,0,0,0,0,FALSE,,,,,,847299,FALSE,FALSE,TRUE
1/6/16,2/1/16,586735,2,2,0,0,FALSE,,,,,,1425547,FALSE,FALSE,TRUE
1/6/16,2/1/16,134141,2,1,1,0,FALSE,,,,,,1480643,FALSE,FALSE,TRUE
1/6/16,2/1/16,598075,2,1,0,0,FALSE,,,,,,960022,FALSE,FALSE,TRUE
1/6/16,2/1/16,596865,1,1,1,0,FALSE,,,,,,670651,FALSE,FALSE,TRUE
1/6/16,2/1/16,578846,13,6,5,0,FALSE,,,,,,791606,FALSE,FALSE,TRUE
1/6/16,2/1/16,31211,27,4,1,1,TRUE,,,,,,847649,FALSE,FALSE,TRUE
1/6/16,2/1/16,167889,9,8,3,0,FALSE,,,,,,1188750,FALSE,FALSE,TRUE
1/6/16,2/1/16,61734,3,3,3,0,FALSE,,,,,,40574,TRUE,TRUE,TRUE
1/6/16,2/1/16,582085,8,7,1,0,FALSE,,,,,,690112,FALSE,FALSE,TRUE
1/6/16,2/1/16,24542,2,1,0,0,FALSE,,,,,,953136,FALSE,FALSE,TRUE
1/6/16,2/1/16,603220,4,3,3,1,TRUE,,,,,,910096,FALSE,FALSE,TRUE
1/6/16,2/1/16,334686,2,2,1,0,FALSE,,,,,,503194,FALSE,FALSE,TRUE
1/6/16,2/1/16,594219,20,9,4,1,FALSE,,,,,,237619,FALSE,FALSE,TRUE
1/6/16,2/1/16,23909,4,2,1,0,FALSE,,,,,,362992,FALSE,FALSE,TRUE
1/6/16,2/1/16,246856,13,12,6,1,TRUE,,,,,,1141345,FALSE,FALSE,TRUE
1/6/16,2/1/16,237619,0,0,0,0,FALSE,,,,,,738198,FALSE,FALSE,TRUE
1/6/16,2/1/16,310533,16,3,0,0,FALSE,,,,,,1410254,FALSE,FALSE,TRUE
1/6/16,2/1/16,450991,10,0,0,0,FALSE,,,,,,647210,FALSE,FALSE,TRUE
1/6/16,2/1/16,595811,2,0,0,0,FALSE,,,,,,1012150,FALSE,FALSE,TRUE
1/6/16,2/1/16,601764,10,0,0,0,FALSE,,,,,,904944,FALSE,FALSE,TRUE
1/6/16,2/1/16,601779,28,3,1,1,TRUE,,,,,,1184167,FALSE,FALSE,TRUE
1/6/16,2/1/16,153993,26,10,3,0,FALSE,,,,,,1120911,FALSE,FALSE,TRUE
1/6/16,2/1/16,397988,2,2,0,0,FALSE,,,,,,774340,FALSE,FALSE,TRUE
1/6/16,2/1/16,379513,2,2,1,0,FALSE,,,,,,747712,FALSE,FALSE,TRUE
1/6/16,2/1/16,573492,0,0,0,0,FALSE,,,,,,1256724,FALSE,FALSE,TRUE
1/6/16,2/1/16,139308,2,1,0,0,FALSE,,,,,,1107808,FALSE,FALSE,TRUE
1/6/16,2/1/16,445151,32,16,8,2,FALSE,,,,,,240295,FALSE,FALSE,TRUE
1/6/16,2/1/16,486839,5,4,1,0,FALSE,,,,,,1057658,FALSE,FALSE,TRUE
1/6/16,2/1/16,523745,1,0,0,0,FALSE,,,,,,1127367,FALSE,FALSE,TRUE
1/6/16,2/1/16,578772,9,5,5,0,FALSE,,,,,,1070756,FALSE,FALSE,TRUE
1/6/16,2/1/16,596853,4,3,0,0,FALSE,,,,,,61234,FALSE,FALSE,TRUE
1/6/16,2/1/16,526780,4,2,2,0,FALSE,,,,,,244861,FALSE,FALSE,TRUE
1/6/16,2/1/16,478130,3,2,2,0,FALSE,,,,,,1299656,FALSE,FALSE,TRUE
1/6/16,2/1/16,574683,10,5,4,0,FALSE,,,,,,365284,FALSE,FALSE,TRUE
1/6/16,2/1/16,72952,28,19,12,1,TRUE,,,,,,616058,FALSE,FALSE,TRUE
1/6/16,2/1/16,592355,10,4,1,0,FALSE,,,,,,94097,FALSE,FALSE,TRUE
1/13/16,2/8/16,595816,0,0,0,0,FALSE,,,,,,870024,FALSE,FALSE,TRUE
1/13/16,2/8/16,609060,5,4,2,0,FALSE,,,,,,1220983,FALSE,FALSE,TRUE
1/13/16,2/8/16,564023,0,0,0,0,FALSE,,,,,,595026,FALSE,FALSE,TRUE
1/13/16,2/8/16,613193,8,3,1,0,FALSE,,,,,,801919,FALSE,FALSE,TRUE
1/13/16,2/8/16,296929,5,2,1,0,FALSE,,,,,,160244,FALSE,FALSE,TRUE
1/13/16,2/8/16,127118,1,1,1,0,FALSE,,,,,,433360,TRUE,TRUE,TRUE
1/13/16,2/8/16,408892,6,6,4,0,FALSE,,,,,,1454459,FALSE,FALSE,TRUE
1/13/16,2/8/16,574959,0,0,0,0,FALSE,,,,,,801690,FALSE,FALSE,TRUE
1/13/16,2/8/16,606479,5,3,1,0,FALSE,,,,,,943443,FALSE,FALSE,TRUE
1/13/16,2/8/16,609095,3,2,3,0,FALSE,,,,,,1277853,FALSE,FALSE,TRUE
1/13/16,2/8/16,281291,0,0,0,0,FALSE,,,,,,816282,FALSE,FALSE,TRUE
1/13/16,2/8/16,609712,0,0,0,0,FALSE,,,,,,657930,FALSE,FALSE,TRUE
1/13/16,2/8/16,492013,3,3,2,0,FALSE,,,,,,906618,FALSE,FALSE,TRUE
1/13/16,2/8/16,275356,2,1,0,0,FALSE,,,,,,628546,FALSE,FALSE,TRUE
1/13/16,2/8/16,601598,0,0,0,0,FALSE,,,,,,573440,FALSE,FALSE,TRUE
1/13/16,2/8/16,516422,9,6,2,1,TRUE,,,,,,782223,FALSE,FALSE,TRUE
1/13/16,2/8/16,17019,5,4,4,1,TRUE,,,,,,237889,FALSE,FALSE,TRUE
1/13/16,2/8/16,587134,9,8,4,0,FALSE,,,,,,233538,FALSE,FALSE,TRUE
1/13/16,2/8/16,41040,2,2,1,0,FALSE,,,,,,312953,FALSE,FALSE,TRUE
1/13/16,2/8/16,282471,17,7,1,0,FALSE,,,,,,744315,FALSE,FALSE,TRUE
1/13/16,2/8/16,435738,1,0,0,0,FALSE,,,,,,709640,FALSE,FALSE,TRUE
1/13/16,2/8/16,468853,4,3,3,0,FALSE,,,,,,203784,FALSE,FALSE,TRUE
1/13/16,2/8/16,613332,4,2,2,0,FALSE,,,,,,1454670,FALSE,FALSE,TRUE
1/13/16,2/8/16,616186,13,2,2,0,FALSE,,,,,,1199632,FALSE,FALSE,TRUE
1/13/16,2/8/16,531494,2,2,2,0,FALSE,,,,,,1084417,FALSE,FALSE,TRUE
1/13/16,2/8/16,172317,0,0,0,0,FALSE,,,,,,39523,FALSE,FALSE,TRUE
1/13/16,2/8/16,607348,2,0,0,0,FALSE,,,,,,122199,FALSE,FALSE,TRUE
1/13/16,2/8/16,223026,2,0,0,0,FALSE,,,,,,1373685,FALSE,FALSE,TRUE
1/13/16,2/8/16,614922,17,17,13,0,FALSE,,,,,,896090,FALSE,FALSE,TRUE
1/13/16,2/8/16,614497,31,0,0,0,FALSE,,,,,,200845,FALSE,FALSE,TRUE
1/13/16,2/8/16,436515,0,0,0,0,FALSE,,,,,,694841,FALSE,FALSE,TRUE
1/13/16,2/8/16,166191,0,0,0,0,FALSE,,,,,,1067094,TRUE,FALSE,FALSE
1/13/16,2/8/16,614771,2,1,1,0,FALSE,,,,,,927542,FALSE,FALSE,TRUE
1/13/16,2/8/16,605842,22,0,0,0,FALSE,,,,,,1037193,FALSE,FALSE,TRUE
1/13/16,2/8/16,34608,4,3,2,0,FALSE,,,,,,1014139,FALSE,FALSE,TRUE
1/13/16,2/8/16,244554,12,3,2,0,FALSE,,,,,,703853,TRUE,FALSE,FALSE
1/13/16,2/8/16,613827,18,7,4,1,TRUE,,,,,,1045235,FALSE,FALSE,TRUE
1/13/16,2/8/16,606493,11,8,5,0,FALSE,,,,,,637519,FALSE,FALSE,TRUE
1/13/16,2/8/16,33254,6,4,3,0,FALSE,,,,,,154839,FALSE,FALSE,TRUE
1/13/16,2/8/16,86818,4,1,0,0,FALSE,,,,,,943443,FALSE,FALSE,TRUE
1/13/16,2/8/16,606910,2,1,0,0,FALSE,,,,,,145745,FALSE,FALSE,TRUE
1/13/16,2/8/16,608044,1,1,1,0,FALSE,,,,,,824115,FALSE,FALSE,TRUE
